Timestep,formula,C_cout,H_count,C/H,H/C
198.6094, 'C61H34', 61, 34, 1.7941176470588236, 0.5573770491803278
198.8094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
199.0094, 'C63H34', 63, 34, 1.8529411764705883, 0.5396825396825397
199.2094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
199.4094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
199.6094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
199.8094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
200.0094, 'C42H21', 42, 21, 2.0, 0.5
200.2094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
200.4094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
200.6094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
200.8094, 'C63H35', 63, 35, 1.8, 0.5555555555555556
201.0094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
201.2094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
201.4094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
201.6094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
201.8094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
202.0094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
202.2094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
202.4094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
202.6094, 'C63H35', 63, 35, 1.8, 0.5555555555555556
202.8094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
203.0094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
203.2094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
203.4094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
203.6094, 'C63H36', 63, 36, 1.75, 0.5714285714285714
203.8094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
204.0094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
204.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
204.4094, 'C63H34', 63, 34, 1.8529411764705883, 0.5396825396825397
204.6094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
204.8094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
205.0094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
