atom,type,x,y,z
C195,C,0.453371,0.893240,0.010924
H133,H,0.349374,0.928562,0.044909
H134,H,0.294918,0.894519,0.011881
C196,C,0.166339,0.996964,0.049623
H135,H,0.039888,0.954631,-0.000724
C197,C,0.180985,0.950448,0.000204
H136,H,0.033498,0.572857,0.218500
C198,C,0.023976,0.583121,0.197662
C199,C,0.491072,0.634405,0.178709
C200,C,0.013351,0.594114,0.175544
C201,C,0.124426,0.506104,0.283680
C202,C,0.041394,0.524460,0.255562
H137,H,0.001493,0.602907,0.153356
H138,H,0.051868,0.545579,0.246813
H139,H,0.111413,0.495377,0.263641
H140,H,0.334489,0.614916,0.158285
C203,C,0.482730,0.660212,0.173379
H141,H,0.097084,0.832521,0.244455
C204,C,0.116526,0.803414,0.201824
C205,C,0.121346,0.766357,0.149879
C206,C,0.124590,0.787107,0.175532
C207,C,0.103937,0.817402,0.226556
C208,C,0.019345,0.763049,0.266751
C209,C,0.027171,0.743647,0.249775
H142,H,0.040188,0.732858,0.231568
H143,H,0.356031,0.671520,0.234767
C210,C,0.413326,0.719922,0.272994
H144,H,0.477416,0.685667,0.171145
H145,H,0.434393,0.729995,0.258034
C211,C,0.355904,0.693255,0.250156
C212,C,0.385785,0.702229,0.261165
H146,H,0.333513,0.708831,0.251418
C213,C,0.026609,0.504293,0.263949
H147,H,0.015077,0.782613,0.281633
C214,C,0.125625,0.623563,0.402530
C215,C,0.099337,0.630549,0.381450
H148,H,0.106392,0.640853,0.359068
C216,C,0.067381,0.617183,0.385688
H149,H,0.047364,0.623647,0.369500
H150,H,0.014612,0.580721,0.394278
C217,C,0.059684,0.599078,0.415471
C218,C,0.030793,0.579685,0.414553
C219,C,0.136100,0.516784,0.305994
C220,C,0.156294,0.628607,0.386124
H151,H,0.155836,0.637652,0.364117
C221,C,0.184511,0.613156,0.402907
H152,H,0.205620,0.604281,0.392138
H153,H,0.146701,0.526887,0.327390
C222,C,0.223779,0.874603,0.430108
H154,H,0.202258,0.991526,0.363187
C223,C,0.155687,0.719483,0.364914
H155,H,0.130820,0.712048,0.365662
C224,C,0.180948,0.730985,0.369189
H156,H,0.269355,0.734093,0.382803
C225,C,0.243248,0.731566,0.376158
C226,C,0.216081,0.734225,0.373374
