x,y,z
0.089917,0.917088,0.746156
0.109955,0.923393,0.729380
0.434546,0.925229,0.800283
0.445881,0.906608,0.809663
0.489124,0.962711,0.791610
0.482103,0.904867,0.810894
0.477401,0.848596,0.836988
0.400353,0.882026,0.813730
0.466200,0.959012,0.780133
0.425793,0.878444,0.816678
0.442003,0.849833,0.828463
0.347659,0.878396,0.857065
0.091827,0.501259,0.931877
0.044217,0.501155,0.906891
0.087708,0.516423,0.948801
0.098618,0.582291,0.980284
0.095366,0.607904,0.985913
0.116189,0.628061,0.978591
0.138655,0.648161,0.969054
0.157416,0.664937,0.965892
0.234982,0.633690,0.958261
0.218881,0.623601,0.974953
0.290733,0.759264,0.950215
0.346636,0.901333,1.000020
0.313777,0.799041,0.991546
0.315404,0.751617,0.953821
0.332522,0.773546,0.975787
0.322188,0.721116,0.910256
0.333544,0.735019,0.930237
0.384445,0.717175,0.911863
0.369104,0.732025,0.930268
0.369186,0.770695,0.976511
0.385022,0.743589,0.959554
0.166231,0.991401,0.958692
0.419888,0.734895,0.964672
0.431927,0.712189,0.955975
0.436239,0.758144,0.985155
0.457359,0.750267,0.995338
0.466226,0.871898,0.985292
0.170389,0.984000,0.993016
0.035990,0.948084,0.952274
0.041122,0.963380,0.920666
0.030986,0.935841,0.980715
0.385831,0.792684,0.998662
0.175054,0.931654,0.942516
0.053804,0.951269,0.903459
0.168879,0.973953,0.899952
0.177030,0.957603,0.882571
0.175158,0.911762,0.925903
0.170466,0.966193,0.934297
0.186772,0.899698,0.983372
0.179694,0.924559,0.974543
0.329605,0.876916,0.939575
0.312782,0.891166,0.993707
0.301061,0.875862,0.895415
0.277511,0.870171,0.960546
0.301847,0.877236,0.964460
0.362950,0.869132,0.949726
0.448531,0.857937,0.956690
0.401798,0.878752,0.873520
0.352350,0.877129,0.881205
0.385384,0.874699,0.891763
0.369473,0.881757,0.981917
0.417701,0.872920,0.953978
0.460082,0.839919,0.942852
0.391631,0.870764,0.929613
0.400859,0.883950,0.985009
0.491924,0.867577,0.987682
0.324550,0.875025,0.904608
0.201300,0.612969,0.992651
0.029958,0.908054,0.983390
0.489523,0.770613,0.865195
0.288698,0.802799,0.984385
0.072534,0.616046,0.998815
0.564315,0.168195,0.064735
0.563770,0.178648,0.116852
0.562805,0.174442,0.090298
0.628914,0.440685,0.007585
0.874382,0.369612,0.124910
0.731672,0.127140,0.020119
0.748736,0.156452,0.009094
0.699584,0.098338,0.053156
0.715126,0.111246,0.035634
0.582676,0.300736,0.026059
0.592034,0.301406,0.049855
0.573450,0.293315,0.067996
0.847656,0.370157,0.122390
0.794979,0.316773,0.056746
0.754449,0.334939,0.019436
0.844178,0.330009,0.089541
0.857916,0.226438,0.113409
0.865834,0.247517,0.103990
0.876991,0.269513,0.091929
0.888754,0.288292,0.079541
0.669419,0.332110,0.078401
0.619995,0.313592,0.056324
0.647623,0.325454,0.065867
0.715054,0.445610,0.060462
0.719153,0.395354,0.023908
0.784203,0.433752,0.143750
0.831607,0.348158,0.101374
0.685896,0.434985,0.018598
0.752454,0.394571,0.079914
0.705766,0.425033,0.032586
0.707696,0.382897,-0.000066
0.735762,0.423637,0.076057
0.714875,0.471257,0.058857
0.784442,0.387115,0.098259
0.784007,0.340404,0.059443
0.743800,0.382700,0.046402
0.798326,0.405793,0.126538
0.760497,0.350746,0.039623
0.799924,0.359831,0.085690
0.678797,0.134141,0.263912
0.671656,0.160685,0.258358
0.842101,0.007465,0.255711
0.841951,0.034196,0.256798
0.835294,0.057692,0.254234
0.846332,0.137871,0.278198
0.853702,0.113807,0.272766
0.639696,0.174101,0.202489
0.561820,0.264008,0.242472
0.618537,0.246697,0.228496
0.654213,0.193042,0.211784
0.646695,0.230517,0.211552
0.660365,0.285768,0.224294
0.605546,0.307655,0.238841
0.626381,0.280787,0.233692
0.556459,0.312172,0.257166
0.573467,0.297547,0.246366
0.582312,0.240438,0.231622
0.568449,0.219811,0.224486
0.534338,0.259215,0.247313
0.697732,0.172438,0.190712
0.664299,0.188613,0.251493
0.669077,0.211011,0.266659
0.672041,0.316140,0.221280
0.671803,0.256904,0.211751
0.689834,0.194489,0.196485
0.705885,0.254151,0.206792
0.703471,0.315803,0.208227
0.711648,0.220604,0.197178
0.709944,0.341813,0.200622
0.720275,0.286216,0.204079
0.737417,0.215050,0.191666
0.744237,0.289798,0.192274
0.928685,0.181650,0.212240
0.970917,0.248967,0.218818
0.958732,0.226379,0.216913
0.943195,0.204408,0.214526
0.653768,0.347589,0.231508
0.624638,0.342566,0.242344
0.610490,0.362596,0.249729
0.664528,0.370822,0.230598
0.836022,0.441714,0.209906
0.781110,0.472057,0.184809
0.840282,0.408764,0.170155
0.823255,0.435592,0.187616
0.794798,0.450809,0.174442
0.756066,0.498298,0.272960
0.862715,0.401815,0.179380
0.563811,0.182511,0.138185
0.826116,0.390152,0.142951
0.519226,0.042393,0.362515
0.552304,0.054010,0.403436
0.535924,0.047942,0.382626
0.876018,0.344226,0.370204
0.859257,0.407732,0.388896
0.838708,0.162382,0.284690
0.982334,0.101821,0.312775
0.962452,0.081127,0.387161
0.987892,0.100134,0.336917
0.993524,0.068356,0.395898
0.960321,0.095536,0.354344
0.935560,0.100162,0.345565
0.944133,0.080540,0.404622
0.831044,0.185815,0.291553
0.730518,0.252410,0.338603
0.753614,0.200450,0.355803
0.757343,0.249777,0.339885
0.770149,0.220896,0.353995
0.782551,0.274371,0.329255
0.805932,0.219801,0.361792
0.818392,0.273511,0.339865
0.835267,0.303810,0.345887
0.771200,0.308557,0.319259
0.745977,0.308907,0.313752
0.786691,0.339019,0.321008
0.859359,0.374352,0.363786
0.810481,0.200063,0.376469
0.828342,0.247391,0.363326
0.860081,0.250564,0.380768
0.865929,0.309976,0.362309
0.870671,0.230423,0.391671
0.878490,0.278894,0.377876
0.901144,0.277948,0.388152
0.961273,0.226007,0.362537
0.942985,0.220574,0.334740
0.919358,0.222255,0.312380
0.905959,0.214576,0.291768
0.974872,0.231868,0.391197
0.817547,0.336559,0.339383
0.830051,0.368065,0.346648
0.774445,0.361519,0.313833
0.815517,0.388698,0.339917
0.881685,0.401756,0.408806
0.894922,0.346135,0.387676
0.841179,0.430100,0.389266
0.961587,0.238903,0.412118
0.720384,0.007281,0.403290
0.548676,0.145683,0.443499
0.538969,0.163231,0.459203
0.778642,0.066796,0.489965
0.725773,0.003749,0.487065
0.987933,0.055730,0.430845
0.748960,0.024209,0.480503
0.771942,0.046786,0.474957
0.788721,0.042085,0.455751
0.908244,0.391370,0.432231
0.961497,0.055203,0.438853
0.609787,0.389499,0.478703
0.900693,0.375662,0.447994
0.528814,0.180395,0.478082
0.614250,0.178618,0.555512
0.607338,0.166630,0.533806
0.615975,0.214357,0.549973
0.589147,0.276673,0.505861
0.594853,0.230314,0.527718
0.626919,0.277698,0.548241
0.603703,0.264321,0.523846
0.578933,0.219549,0.516262
0.632039,0.312388,0.554081
0.515654,0.207289,0.499909
0.928582,0.254289,0.547133
0.914170,0.247943,0.526293
0.943187,0.261660,0.568695
0.632311,0.329272,0.534888
