Timestep	No_Moles	No_Specs
240.8027	169	32
241.0027	184	33
241.2027	189	28
241.4027	180	34
241.6027	189	34
241.8027	196	35
242.0027	195	35
242.2027	186	30
242.4027	160	30
242.6027	172	34
242.8027	183	34
243.0027	181	32
243.2027	192	36
243.4027	185	32
243.6027	193	36
243.8027	174	32
244.0027	175	30
244.2027	187	36
244.4027	195	37
244.6027	190	33
244.8027	190	28
245.0027	188	31
245.2027	178	30
245.4027	203	32
245.6027	186	31
245.8027	186	30
246.0027	191	31
246.2027	192	33
246.4027	182	33
246.6027	184	30
246.8027	173	35
247.0027	194	32
247.2027	191	32
247.4027	197	34
247.6027	188	32
247.8027	169	33
248.0027	178	31
248.2027	175	30
248.4027	172	28
248.6027	190	34
248.8027	182	27
249.0027	181	33
249.2027	172	30
249.4027	199	30
249.6027	206	34
249.8027	192	33
250.0027	188	33
250.2027	201	34
250.4027	177	28
250.6027	180	30
250.8027	181	29
251.0027	178	30
251.2027	182	29
251.4027	177	29
251.6027	178	30
251.8027	179	31
252.0027	214	31
252.2027	189	30
252.4027	205	30
252.6027	190	29
252.8027	206	32
253.0027	188	34
253.2027	189	32
253.4027	176	30
253.6027	214	34
253.8027	201	33
254.0027	187	31
254.2027	195	27
254.4027	201	33
254.6027	186	25
254.8027	202	29
255.0027	195	32
255.2027	199	29
255.4027	187	30
255.6027	202	31
255.8027	186	28
256.0027	205	30
256.2027	178	28
256.4027	182	31
256.6027	198	33
256.8027	200	31
257.0027	199	31
257.2027	198	31
257.4027	174	30
257.6027	188	28
257.8027	205	28
258.0027	222	33
258.2027	204	33
258.4027	203	30
258.6027	199	27
258.8027	202	33
259.0027	186	29
259.2027	188	29
259.4027	200	30
259.6027	193	27
259.8027	193	25
260.0027	207	33
260.2027	186	28
260.4027	185	28
260.6027	198	31
260.8027	178	29
261.0027	204	29
261.2027	179	27
261.4027	177	29
261.6027	198	32
261.8027	172	27
262.0027	211	36
262.2027	188	30
262.4027	186	30
262.6027	200	32
262.8027	188	29
263.0027	181	31
263.2027	181	29
263.4027	186	29
263.6027	201	32
263.8027	191	30
264.0027	193	32
264.2027	175	31
264.4027	188	33
264.6027	190	30
264.8027	181	29
265.0027	184	29
265.2027	196	31
265.4027	186	29
265.6027	207	29
265.8027	166	25
266.0027	198	29
266.2027	179	28
266.4027	189	30
266.6027	202	31
266.8027	193	31
267.0027	214	32
267.2027	197	34
267.4027	190	27
267.6027	186	30
267.8027	179	26
268.0027	201	32
268.2027	204	34
268.4027	203	33
268.6027	186	27
268.8027	187	31
269.0027	197	30
269.2027	199	28
269.4027	210	33
269.6027	183	28
269.8027	179	29
270.0027	202	33
270.2027	188	27
270.4027	205	29
270.6027	188	33
270.8027	194	31
271.0027	215	32
271.2027	196	32
271.4027	179	30
271.6027	187	31
271.8027	202	32
272.0027	184	28
272.2027	201	31
272.4027	184	29
272.6027	184	29
272.8027	194	28
273.0027	190	32
273.2027	186	29
273.4027	208	31
273.6027	205	27
273.8027	202	31
274.0027	209	32
274.2027	196	29
274.4027	201	29
274.6027	181	29
274.8027	190	31
275.0027	190	30
275.2027	196	32
275.4027	189	30
275.6027	200	29
275.8027	184	28
276.0027	209	32
276.2027	180	29
276.4027	188	30
276.6027	199	30
276.8027	208	31
277.0027	191	30
277.2027	198	32
277.4027	179	29
277.6027	177	26
277.8027	202	28
278.0027	195	28
278.2027	210	33
278.4027	197	32
278.6027	193	25
278.8027	201	31
279.0027	197	33
279.2027	197	29
279.4027	198	28
279.6027	188	28
279.8027	182	25
280.0027	182	25
280.2027	198	28
280.4027	205	30
280.6027	199	31
280.8027	211	28
281.0027	193	28
281.2027	195	34
281.4027	202	30
281.6027	191	31
281.8027	190	28
282.0027	207	28
282.2027	213	30
282.4027	199	31
282.6027	201	32
282.8027	177	29
283.0027	198	30
283.2027	202	32
283.4027	194	32
283.6027	190	27
283.8027	185	28
284.0027	214	31
284.2027	188	31
284.4027	210	30
284.6027	202	31
284.8027	205	31
285.0027	198	30
285.2027	212	31
285.4027	215	34
285.6027	202	29
285.8027	209	31
286.0027	195	30
286.2027	198	32
286.4027	190	32
286.6027	207	29
286.8027	194	29
287.0027	201	32
287.2027	199	33
287.4027	188	32
287.6027	197	31
287.8027	199	32
288.0027	184	29
288.2027	223	30
288.4027	216	30
288.6027	223	34
288.8027	190	32
289.0027	198	30
289.2027	200	32
289.4027	193	28
289.6027	204	29
289.8027	219	31
290.0027	201	32
290.2027	208	31
290.4027	202	28
290.6027	188	31
290.8027	209	30
291.0027	192	29
291.2027	199	28
291.4027	219	29
291.6027	198	30
291.8027	206	28
292.0027	200	30
292.2027	189	28
292.4027	220	31
292.6027	206	30
292.8027	188	27
293.0027	216	31
293.2027	196	29
293.4027	185	27
293.6027	205	27
293.8027	192	30
294.0027	206	29
294.2027	199	26
294.4027	201	29
294.6027	208	24
294.8027	207	28
295.0027	187	24
295.2027	194	26
295.4027	212	31
295.6027	196	27
295.8027	217	29
296.0027	185	26
296.2027	207	31
296.4027	190	26
296.6027	210	29
296.8027	197	27
297.0027	193	26
297.2027	196	25
297.4027	190	27
297.6027	185	24
297.8027	194	21
298.0027	210	27
298.2027	183	24
298.4027	202	27
298.6027	209	24
298.8027	193	28
299.0027	186	24
299.2027	194	28
299.4027	210	26
299.6027	212	27
299.8027	195	29
300.0027	211	27
300.2027	195	24
300.4027	182	25
300.6027	216	26
